"filename", "language", "YAML", "Swift", "Markdown", "JSON", "C++", "XML", "Dart", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"d:\komiwall-master\komiwall-master\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 29
"d:\komiwall-master\komiwall-master\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"d:\komiwall-master\komiwall-master\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\komiwall-master\komiwall-master\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\komiwall-master\komiwall-master\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"d:\komiwall-master\komiwall-master\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\komiwall-master\komiwall-master\pubspec.yaml", "YAML", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 15, 112
"d:\komiwall-master\komiwall-master\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 6, 30
"d:\komiwall-master\komiwall-master\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"d:\komiwall-master\komiwall-master\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\komiwall-master\komiwall-master\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 5, 18
"d:\komiwall-master\komiwall-master\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"d:\komiwall-master\komiwall-master\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 16, 72
"d:\komiwall-master\komiwall-master\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"d:\komiwall-master\komiwall-master\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"d:\komiwall-master\komiwall-master\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"d:\komiwall-master\komiwall-master\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"d:\komiwall-master\komiwall-master\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"d:\komiwall-master\komiwall-master\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"d:\komiwall-master\komiwall-master\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 49, 68, 13, 278, 549, 484, 5709, 38, 92, 8, 437, 763, 8488
